"COUNTRY","Country","VARIABLE","Variable","SOURCE","Source","YEAR","Year","Value","Flag Codes","Flags"
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2009","2009",14914537,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2010","2010",15007493,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2011","2011",16427247,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2012","2012",16946543,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2013","2013",20111406,"B","Break"
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2014","2014",24272388,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2015","2015",26114228,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2016","2016",28070833,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2017","2017",30161033,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2018","2018",33072157,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",34004558,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",7405846,,
"GRC","Greece","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",15246123,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2008","2008",623476,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2009","2009",657130,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2010","2010",664389,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2011","2011",686209,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2012","2012",599110,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2013","2013",691874,"B","Break"
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2014","2014",1534656,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2015","2015",1900643,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2016","2016",2522804,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2017","2017",2546307,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2018","2018",3135327,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2019","2019",3882890,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2020","2020",663106,,
"GRC","Greece","BGR","Bulgaria","DEMAND","Tourism demand surveys","2021","2021",761668,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2008","2008",2469152,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2009","2009",2364486,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2010","2010",2038872,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2011","2011",2240481,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2012","2012",2108787,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2013","2013",2267545,"B","Break"
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2014","2014",2459228,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2015","2015",2810349,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2016","2016",3138735,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2017","2017",3705950,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2018","2018",4381448,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2019","2019",4026286,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2020","2020",1526439,,
"GRC","Greece","DEU","Germany","DEMAND","Tourism demand surveys","2021","2021",3001164,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2008","2008",910021,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2009","2009",962434,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2010","2010",868348,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2011","2011",1149388,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2012","2012",977375,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2013","2013",1152217,"B","Break"
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2014","2014",1463159,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2015","2015",1522100,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2016","2016",1313536,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2017","2017",1419799,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2018","2018",1524001,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2019","2019",1541793,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2020","2020",468803,,
"GRC","Greece","FRA","France","DEMAND","Tourism demand surveys","2021","2021",1174504,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2008","2008",2278012,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2009","2009",2112151,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2010","2010",1802202,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2011","2011",1758093,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2012","2012",1920794,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2013","2013",1846332,"B","Break"
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2014","2014",2089529,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2015","2015",2397169,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2016","2016",2894655,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2017","2017",3002042,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2018","2018",2942763,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2019","2019",3499325,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2020","2020",1068581,,
"GRC","Greece","GBR","United Kingdom","DEMAND","Tourism demand surveys","2021","2021",1591190,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2008","2008",1099983,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2009","2009",935010,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2010","2010",843611,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2011","2011",938233,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2012","2012",848073,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2013","2013",964314,"B","Break"
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2014","2014",1117711,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2015","2015",1355329,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2016","2016",1386902,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2017","2017",1441298,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2018","2018",1667114,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2019","2019",1553172,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2020","2020",373228,,
"GRC","Greece","ITA","Italy","DEMAND","Tourism demand surveys","2021","2021",806390,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2010","2010",1104576,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2011","2011",1356229,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2012","2012",1300097,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2013","2013",1691800,"B","Break"
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2014","2014",2346580,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2015","2015",3023058,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2016","2016",1721115,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2017","2017",1571489,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2018","2018",1187239,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2019","2019",947650,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2020","2020",215027,,
"GRC","Greece","MKD","Former Yugoslav Republic of Macedonia","DEMAND","Tourism demand surveys","2021","2021",479058,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2008","2008",756938,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2009","2009",651437,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2010","2010",528158,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2011","2011",560723,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2012","2012",478482,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2013","2013",580868,"B","Break"
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2014","2014",657339,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2015","2015",639107,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2016","2016",770690,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2017","2017",947159,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2018","2018",1014998,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2019","2019",817846,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2020","2020",256621,,
"GRC","Greece","NLD","Netherlands","DEMAND","Tourism demand surveys","2021","2021",580466,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2008","2008",327260,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2009","2009",307597,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2010","2010",257941,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2011","2011",223699,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2012","2012",230396,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2013","2013",278874,"B","Break"
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2014","2014",543361,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2015","2015",540289,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2016","2016",1026110,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2017","2017",1148944,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2018","2018",1389398,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2019","2019",1378127,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2020","2020",204551,,
"GRC","Greece","ROU","Romania","DEMAND","Tourism demand surveys","2021","2021",625501,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2008","2008",309071,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2009","2009",276023,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2010","2010",451239,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2011","2011",738928,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2012","2012",874787,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2013","2013",1352901,"B","Break"
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2014","2014",1250174,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2015","2015",512789,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2016","2016",595482,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2017","2017",588667,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2018","2018",520182,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2019","2019",582880,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2020","2020",25682,,
"GRC","Greece","RUS","Russian Federation","DEMAND","Tourism demand surveys","2021","2021",119511,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2008","2008",207608,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2009","2009",200349,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2010","2010",561197,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2011","2011",552091,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2012","2012",602306,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2013","2013",831114,"B","Break"
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2014","2014",976758,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2015","2015",1153046,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2016","2016",889762,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2017","2017",971841,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2018","2018",929730,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2019","2019",1093302,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2020","2020",232236,,
"GRC","Greece","TUR","Türkiye","DEMAND","Tourism demand surveys","2021","2021",195784,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2008","2008",152596091,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2009","2009",141443690,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2010","2010",140175727,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2011","2011",150978226,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2012","2012",142416876,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2013","2013",162917996,"B","Break"
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2014","2014",186927498,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2015","2015",188011991,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2016","2016",193418750,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2017","2017",213516402,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2018","2018",230726500,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2019","2019",236547409,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2020","2020",64172473,,
"GRC","Greece","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2021","2021",133734887,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2012","2012",4163641,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2013","2013",4387692,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2014","2014",4617751,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2015","2015",4928511,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2016","2016",5301843,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2017","2017",5650077,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2018","2018",5945123,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2019","2019",6168576,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2020","2020",1366412,,
"HUN","Hungary","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","SUPPLY","Tourism supply surveys","2021","2021",1868335,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2008","2008",11386000,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2009","2009",10489000,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2010","2010",10701000,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2011","2011",11548000,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2012","2012",12579183,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2013","2013",13306883,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2014","2014",14103330,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2015","2015",15144395,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2016","2016",16789045,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2017","2017",19076781,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2018","2018",20162449,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2019","2019",20794112,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2020","2020",5035061,,
"HUN","Hungary","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2021","2021",7199500,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2008","2008",8489000,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2009","2009",7773000,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2010","2010",8317000,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2011","2011",9049000,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2012","2012",9938268,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2013","2013",10367322,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2014","2014",10653116,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2015","2015",11092521,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2016","2016",11801752,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2017","2017",12754054,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2018","2018",13094080,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2019","2019",13413406,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2020","2020",3125743,,
"HUN","Hungary","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2021","2021",4139082,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2008","2008",1521000,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2009","2009",1447000,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2010","2010",1297000,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2011","2011",1362000,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2012","2012",1453915,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2013","2013",1615561,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2014","2014",1698214,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2015","2015",1869874,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2016","2016",2000293,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2017","2017",2187727,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2018","2018",2246369,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2019","2019",2339167,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2020","2020",647824,,
"HUN","Hungary","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2021","2021",931752,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2008","2008",1376000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2009","2009",1269000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2010","2010",1087000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2011","2011",1137000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2012","2012",1187000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2013","2013",1324000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2014","2014",1752000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2015","2015",2182000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2016","2016",2987000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2017","2017",4135000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2018","2018",4822000,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2019","2019",5041539,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2020","2020",1261494,,
"HUN","Hungary","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","SUPPLY","Tourism supply surveys","2021","2021",2128666,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2008","2008",12653000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2009","2009",12670000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2010","2010",13362000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2011","2011",13620000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2012","2012",14878000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2013","2013",14836000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2014","2014",17253000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2015","2015",20189000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2016","2016",21444000,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2017","2017",22371081,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2018","2018",55461747,"B","Break"
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",58618707,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",29057279,,
"HUN","Hungary","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",33049980,,
